,user_id,s,a,sp,r,movie_num
0,133,12,1,11,-3.0,1
1,133,12,2,11,-2.0,1
2,133,12,3,11,-3.0,1
3,133,12,4,11,-3.0,1
4,133,12,5,11,-3.0,1
5,133,12,6,11,-5.0,1
6,133,12,7,11,-2.0,1
7,133,12,8,11,-3.0,1
8,133,12,9,11,-5.0,1
9,133,12,10,11,-2.0,1
10,133,12,11,11,3.0,1
11,133,12,12,11,-3.0,1
12,133,12,13,11,-3.0,1
13,133,12,14,11,-3.0,1
14,3269,7,1,13,-3.0,1
15,3269,7,2,13,-1.0,1
16,3269,7,3,13,-3.0,1
17,3269,7,4,13,-2.0,1
18,3269,7,5,13,-2.0,1
19,3269,7,6,13,-3.0,1
20,3269,7,7,13,-3.0,1
21,3269,7,8,13,-3.0,1
22,3269,7,9,13,-3.0,1
23,3269,7,10,13,-3.0,1
24,3269,7,11,13,-3.0,1
25,3269,7,12,13,-3.0,1
26,3269,7,13,13,5.0,1
27,3269,7,14,13,-3.0,1
28,5353,4,1,1,5.0,1
29,5353,4,2,1,-2.0,1
30,5353,4,3,1,-3.0,1
31,5353,4,4,1,-3.0,1
32,5353,4,5,1,-3.0,1
33,5353,4,6,1,-5.0,1
34,5353,4,7,1,-2.0,1
35,5353,4,8,1,-3.0,1
36,5353,4,9,1,-2.0,1
37,5353,4,10,1,-3.0,1
38,5353,4,11,1,-3.0,1
39,5353,4,12,1,-2.0,1
40,5353,4,13,1,-3.0,1
41,5353,4,14,1,0.0,1
42,8188,7,1,1,3.0,1
43,8188,7,2,1,-2.0,1
44,8188,7,3,1,-3.0,1
45,8188,7,4,1,-3.0,1
46,8188,7,5,1,-3.0,1
47,8188,7,6,1,-5.0,1
48,8188,7,7,1,-2.0,1
49,8188,7,8,1,-3.0,1
50,8188,7,9,1,-2.0,1
51,8188,7,10,1,-3.0,1
52,8188,7,11,1,-3.0,1
53,8188,7,12,1,-2.0,1
54,8188,7,13,1,-3.0,1
55,8188,7,14,1,0.0,1
56,9670,3,1,5,-3.0,1
57,9670,3,2,5,-2.0,1
58,9670,3,3,5,-3.0,1
59,9670,3,4,5,-3.0,1
60,9670,3,5,5,5.0,1
61,9670,3,6,5,-3.0,1
62,9670,3,7,5,-3.0,1
63,9670,3,8,5,-3.0,1
64,9670,3,9,5,-3.0,1
65,9670,3,10,5,-2.0,1
66,9670,3,11,5,-3.0,1
67,9670,3,12,5,-3.0,1
68,9670,3,13,5,-2.0,1
69,9670,3,14,5,-3.0,1
70,9670,5,1,1,4.0,2
71,9670,5,2,1,-2.0,2
72,9670,5,3,1,-3.0,2
73,9670,5,4,1,-3.0,2
74,9670,5,5,1,-3.0,2
75,9670,5,6,1,-5.0,2
76,9670,5,7,1,-2.0,2
77,9670,5,8,1,-3.0,2
78,9670,5,9,1,-2.0,2
79,9670,5,10,1,-3.0,2
80,9670,5,11,1,-3.0,2
81,9670,5,12,1,-2.0,2
82,9670,5,13,1,-3.0,2
83,9670,5,14,1,0.0,2
84,10234,1,1,2,-2.0,1
85,10234,1,2,2,3.0,1
86,10234,1,3,2,0.0,1
87,10234,1,4,2,-3.0,1
88,10234,1,5,2,-2.0,1
89,10234,1,6,2,-5.0,1
90,10234,1,7,2,-3.0,1
91,10234,1,8,2,-3.0,1
92,10234,1,9,2,-5.0,1
93,10234,1,10,2,-1.0,1
94,10234,1,11,2,-2.0,1
95,10234,1,12,2,-1.0,1
96,10234,1,13,2,-1.0,1
97,10234,1,14,2,-3.0,1
98,10924,3,1,5,-3.0,1
99,10924,3,2,5,-2.0,1
100,10924,3,3,5,-3.0,1
101,10924,3,4,5,-3.0,1
102,10924,3,5,5,5.0,1
103,10924,3,6,5,-3.0,1
104,10924,3,7,5,-3.0,1
105,10924,3,8,5,-3.0,1
106,10924,3,9,5,-3.0,1
107,10924,3,10,5,-2.0,1
108,10924,3,11,5,-3.0,1
109,10924,3,12,5,-3.0,1
110,10924,3,13,5,-2.0,1
111,10924,3,14,5,-3.0,1
112,10924,5,1,1,2.0,2
113,10924,5,2,1,-2.0,2
114,10924,5,3,1,-3.0,2
115,10924,5,4,1,-3.0,2
116,10924,5,5,1,-3.0,2
117,10924,5,6,1,-5.0,2
118,10924,5,7,1,-2.0,2
119,10924,5,8,1,-3.0,2
120,10924,5,9,1,-2.0,2
121,10924,5,10,1,-3.0,2
122,10924,5,11,1,-3.0,2
123,10924,5,12,1,-2.0,2
124,10924,5,13,1,-3.0,2
125,10924,5,14,1,0.0,2
126,10924,1,1,7,-2.0,3
127,10924,1,2,7,-3.0,3
128,10924,1,3,7,-3.0,3
129,10924,1,4,7,-3.0,3
130,10924,1,5,7,-3.0,3
131,10924,1,6,7,-5.0,3
132,10924,1,7,7,5.0,3
133,10924,1,8,7,-3.0,3
134,10924,1,9,7,-2.0,3
135,10924,1,10,7,-3.0,3
136,10924,1,11,7,-2.0,3
137,10924,1,12,7,-3.0,3
138,10924,1,13,7,-3.0,3
139,10924,1,14,7,-2.0,3
140,11326,7,1,5,-3.0,1
141,11326,7,2,5,-2.0,1
142,11326,7,3,5,-3.0,1
143,11326,7,4,5,-3.0,1
144,11326,7,5,5,5.0,1
145,11326,7,6,5,-3.0,1
146,11326,7,7,5,-3.0,1
147,11326,7,8,5,-3.0,1
148,11326,7,9,5,-3.0,1
149,11326,7,10,5,-2.0,1
150,11326,7,11,5,-3.0,1
151,11326,7,12,5,-3.0,1
152,11326,7,13,5,-2.0,1
153,11326,7,14,5,-3.0,1
154,11603,13,1,8,-3.0,1
155,11603,13,2,8,-3.0,1
156,11603,13,3,8,-3.0,1
157,11603,13,4,8,-3.0,1
158,11603,13,5,8,-3.0,1
159,11603,13,6,8,-3.0,1
160,11603,13,7,8,-3.0,1
161,11603,13,8,8,3.0,1
162,11603,13,9,8,-3.0,1
163,11603,13,10,8,-3.0,1
164,11603,13,11,8,-3.0,1
165,11603,13,12,8,-3.0,1
166,11603,13,13,8,-3.0,1
167,11603,13,14,8,-3.0,1
168,11603,8,1,2,-2.0,2
169,11603,8,2,2,4.0,2
170,11603,8,3,2,0.0,2
171,11603,8,4,2,-3.0,2
172,11603,8,5,2,-2.0,2
173,11603,8,6,2,-5.0,2
174,11603,8,7,2,-3.0,2
175,11603,8,8,2,-3.0,2
176,11603,8,9,2,-5.0,2
177,11603,8,10,2,-1.0,2
178,11603,8,11,2,-2.0,2
179,11603,8,12,2,-1.0,2
180,11603,8,13,2,-1.0,2
181,11603,8,14,2,-3.0,2
182,11603,2,1,9,-2.0,3
183,11603,2,2,9,-5.0,3
184,11603,2,3,9,-5.0,3
185,11603,2,4,9,-5.0,3
186,11603,2,5,9,-3.0,3
187,11603,2,6,9,-5.0,3
188,11603,2,7,9,-2.0,3
189,11603,2,8,9,-3.0,3
190,11603,2,9,9,4.0,3
191,11603,2,10,9,-5.0,3
192,11603,2,11,9,-5.0,3
193,11603,2,12,9,-3.0,3
194,11603,2,13,9,-3.0,3
195,11603,2,14,9,-1.0,3
196,11603,9,1,13,-3.0,4
197,11603,9,2,13,-1.0,4
198,11603,9,3,13,-3.0,4
199,11603,9,4,13,-2.0,4
200,11603,9,5,13,-2.0,4
201,11603,9,6,13,-3.0,4
202,11603,9,7,13,-3.0,4
203,11603,9,8,13,-3.0,4
204,11603,9,9,13,-3.0,4
205,11603,9,10,13,-3.0,4
206,11603,9,11,13,-3.0,4
207,11603,9,12,13,-3.0,4
208,11603,9,13,13,4.0,4
209,11603,9,14,13,-3.0,4
210,11603,13,1,3,-3.0,5
211,11603,13,2,3,0.0,5
212,11603,13,3,3,4.0,5
213,11603,13,4,3,-2.0,5
214,11603,13,5,3,-3.0,5
215,11603,13,6,3,-3.0,5
216,11603,13,7,3,-3.0,5
217,11603,13,8,3,-3.0,5
218,11603,13,9,3,-5.0,5
219,11603,13,10,3,-2.0,5
220,11603,13,11,3,-3.0,5
221,11603,13,12,3,-2.0,5
222,11603,13,13,3,-3.0,5
223,11603,13,14,3,-3.0,5
224,11603,3,1,13,-3.0,6
225,11603,3,2,13,-1.0,6
226,11603,3,3,13,-3.0,6
227,11603,3,4,13,-2.0,6
228,11603,3,5,13,-2.0,6
229,11603,3,6,13,-3.0,6
230,11603,3,7,13,-3.0,6
231,11603,3,8,13,-3.0,6
232,11603,3,9,13,-3.0,6
233,11603,3,10,13,-3.0,6
234,11603,3,11,13,-3.0,6
235,11603,3,12,13,-3.0,6
236,11603,3,13,13,3.0,6
237,11603,3,14,13,-3.0,6
238,11603,13,1,13,-3.0,7
239,11603,13,2,13,-1.0,7
240,11603,13,3,13,-3.0,7
241,11603,13,4,13,-2.0,7
242,11603,13,5,13,-2.0,7
243,11603,13,6,13,-3.0,7
244,11603,13,7,13,-3.0,7
245,11603,13,8,13,-3.0,7
246,11603,13,9,13,-3.0,7
247,11603,13,10,13,-3.0,7
248,11603,13,11,13,-3.0,7
249,11603,13,12,13,-3.0,7
250,11603,13,13,13,5.0,7
251,11603,13,14,13,-3.0,7
252,11603,13,1,13,-3.0,8
253,11603,13,2,13,-1.0,8
254,11603,13,3,13,-3.0,8
255,11603,13,4,13,-2.0,8
256,11603,13,5,13,-2.0,8
257,11603,13,6,13,-3.0,8
258,11603,13,7,13,-3.0,8
259,11603,13,8,13,-3.0,8
260,11603,13,9,13,-3.0,8
261,11603,13,10,13,-3.0,8
262,11603,13,11,13,-3.0,8
263,11603,13,12,13,-3.0,8
264,11603,13,13,13,5.0,8
265,11603,13,14,13,-3.0,8
266,11603,13,1,6,-5.0,9
267,11603,13,2,6,-5.0,9
268,11603,13,3,6,-3.0,9
269,11603,13,4,6,-2.0,9
270,11603,13,5,6,-3.0,9
271,11603,13,6,6,4.0,9
272,11603,13,7,6,-5.0,9
273,11603,13,8,6,-3.0,9
274,11603,13,9,6,-5.0,9
275,11603,13,10,6,-5.0,9
276,11603,13,11,6,-5.0,9
277,11603,13,12,6,-5.0,9
