,user_id,s,a,sp,r
0,133,12,1,11,-3.0
1,133,12,2,11,-2.0
2,133,12,3,11,-3.0
3,133,12,4,11,-3.0
4,133,12,5,11,-3.0
5,133,12,6,11,-5.0
6,133,12,7,11,-2.0
7,133,12,8,11,-3.0
8,133,12,9,11,-5.0
9,133,12,10,11,-2.0
10,133,12,11,11,3.0
11,133,12,12,11,-3.0
12,133,12,13,11,-3.0
13,133,12,14,11,-3.0
14,3269,7,1,13,-3.0
15,3269,7,2,13,-1.0
16,3269,7,3,13,-3.0
17,3269,7,4,13,-2.0
18,3269,7,5,13,-2.0
19,3269,7,6,13,-3.0
20,3269,7,7,13,-3.0
21,3269,7,8,13,-3.0
22,3269,7,9,13,-3.0
23,3269,7,10,13,-3.0
24,3269,7,11,13,-3.0
25,3269,7,12,13,-3.0
26,3269,7,13,13,5.0
27,3269,7,14,13,-3.0
28,4343,7,1,5,-3.0
29,4343,7,2,5,-2.0
30,4343,7,3,5,-3.0
31,4343,7,4,5,-3.0
32,4343,7,5,5,4.0
33,4343,7,6,5,-3.0
34,4343,7,7,5,-3.0
35,4343,7,8,5,-3.0
36,4343,7,9,5,-3.0
37,4343,7,10,5,-2.0
38,4343,7,11,5,-3.0
39,4343,7,12,5,-3.0
40,4343,7,13,5,-2.0
41,4343,7,14,5,-3.0
42,4725,5,1,13,-3.0
43,4725,5,2,13,-1.0
44,4725,5,3,13,-3.0
45,4725,5,4,13,-2.0
46,4725,5,5,13,-2.0
47,4725,5,6,13,-3.0
48,4725,5,7,13,-3.0
49,4725,5,8,13,-3.0
50,4725,5,9,13,-3.0
51,4725,5,10,13,-3.0
52,4725,5,11,13,-3.0
53,4725,5,12,13,-3.0
54,4725,5,13,13,4.0
55,4725,5,14,13,-3.0
56,4862,1,1,5,-3.0
57,4862,1,2,5,-2.0
58,4862,1,3,5,-3.0
59,4862,1,4,5,-3.0
60,4862,1,5,5,4.0
61,4862,1,6,5,-3.0
62,4862,1,7,5,-3.0
63,4862,1,8,5,-3.0
64,4862,1,9,5,-3.0
65,4862,1,10,5,-2.0
66,4862,1,11,5,-3.0
67,4862,1,12,5,-3.0
68,4862,1,13,5,-2.0
69,4862,1,14,5,-3.0
70,5029,9,1,12,-2.0
71,5029,9,2,12,-1.0
72,5029,9,3,12,-2.0
73,5029,9,4,12,-4.0
74,5029,9,5,12,-3.0
75,5029,9,6,12,-5.0
76,5029,9,7,12,-3.0
77,5029,9,8,12,-3.0
78,5029,9,9,12,-3.0
79,5029,9,10,12,-3.0
80,5029,9,11,12,-3.0
81,5029,9,12,12,1.0
82,5029,9,13,12,-3.0
83,5029,9,14,12,-3.0
84,5029,12,1,11,-3.0
85,5029,12,2,11,-2.0
86,5029,12,3,11,-3.0
