,user_id,s,a,sp,r,movie_num
0,133,12,1,11,-3.0,1
1,133,12,2,11,-2.0,1
2,133,12,3,11,-3.0,1
3,133,12,4,11,-3.0,1
4,133,12,5,11,-3.0,1
5,133,12,6,11,-5.0,1
6,133,12,7,11,-2.0,1
7,133,12,8,11,-3.0,1
8,133,12,9,11,-5.0,1
9,133,12,10,11,-2.0,1
10,133,12,11,11,3.0,1
11,133,12,12,11,-3.0,1
12,133,12,13,11,-3.0,1
13,133,12,14,11,-3.0,1
14,3269,7,1,13,-3.0,1
15,3269,7,2,13,-1.0,1
16,3269,7,3,13,-3.0,1
17,3269,7,4,13,-2.0,1
18,3269,7,5,13,-2.0,1
19,3269,7,6,13,-3.0,1
20,3269,7,7,13,-3.0,1
21,3269,7,8,13,-3.0,1
22,3269,7,9,13,-3.0,1
23,3269,7,10,13,-3.0,1
24,3269,7,11,13,-3.0,1
25,3269,7,12,13,-3.0,1
26,3269,7,13,13,5.0,1
27,3269,7,14,13,-3.0,1
28,4343,7,1,5,-3.0,1
29,4343,7,2,5,-2.0,1
30,4343,7,3,5,-3.0,1
31,4343,7,4,5,-3.0,1
32,4343,7,5,5,4.0,1
33,4343,7,6,5,-3.0,1
34,4343,7,7,5,-3.0,1
35,4343,7,8,5,-3.0,1
36,4343,7,9,5,-3.0,1
37,4343,7,10,5,-2.0,1
38,4343,7,11,5,-3.0,1
39,4343,7,12,5,-3.0,1
40,4343,7,13,5,-2.0,1
41,4343,7,14,5,-3.0,1
42,4725,5,1,13,-3.0,1
43,4725,5,2,13,-1.0,1
44,4725,5,3,13,-3.0,1
45,4725,5,4,13,-2.0,1
46,4725,5,5,13,-2.0,1
47,4725,5,6,13,-3.0,1
48,4725,5,7,13,-3.0,1
49,4725,5,8,13,-3.0,1
50,4725,5,9,13,-3.0,1
51,4725,5,10,13,-3.0,1
52,4725,5,11,13,-3.0,1
53,4725,5,12,13,-3.0,1
54,4725,5,13,13,4.0,1
55,4725,5,14,13,-3.0,1
56,4862,1,1,5,-3.0,1
57,4862,1,2,5,-2.0,1
58,4862,1,3,5,-3.0,1
59,4862,1,4,5,-3.0,1
60,4862,1,5,5,4.0,1
61,4862,1,6,5,-3.0,1
62,4862,1,7,5,-3.0,1
63,4862,1,8,5,-3.0,1
64,4862,1,9,5,-3.0,1
65,4862,1,10,5,-2.0,1
66,4862,1,11,5,-3.0,1
67,4862,1,12,5,-3.0,1
68,4862,1,13,5,-2.0,1
69,4862,1,14,5,-3.0,1
70,5029,9,1,12,-2.0,1
71,5029,9,2,12,-1.0,1
72,5029,9,3,12,-2.0,1
73,5029,9,4,12,-4.0,1
74,5029,9,5,12,-3.0,1
75,5029,9,6,12,-5.0,1
76,5029,9,7,12,-3.0,1
77,5029,9,8,12,-3.0,1
78,5029,9,9,12,-3.0,1
79,5029,9,10,12,-3.0,1
80,5029,9,11,12,-3.0,1
81,5029,9,12,12,1.0,1
82,5029,9,13,12,-3.0,1
83,5029,9,14,12,-3.0,1
84,5029,12,1,11,-3.0,2
85,5029,12,2,11,-2.0,2
86,5029,12,3,11,-3.0,2
87,5029,12,4,11,-3.0,2
88,5029,12,5,11,-3.0,2
89,5029,12,6,11,-5.0,2
90,5029,12,7,11,-2.0,2
91,5029,12,8,11,-3.0,2
92,5029,12,9,11,-5.0,2
93,5029,12,10,11,-2.0,2
94,5029,12,11,11,3.0,2
95,5029,12,12,11,-3.0,2
96,5029,12,13,11,-3.0,2
97,5029,12,14,11,-3.0,2
98,5353,4,1,1,5.0,1
99,5353,4,2,1,-2.0,1
100,5353,4,3,1,-3.0,1
101,5353,4,4,1,-3.0,1
102,5353,4,5,1,-3.0,1
103,5353,4,6,1,-5.0,1
104,5353,4,7,1,-2.0,1
105,5353,4,8,1,-3.0,1
106,5353,4,9,1,-2.0,1
107,5353,4,10,1,-3.0,1
108,5353,4,11,1,-3.0,1
109,5353,4,12,1,-2.0,1
110,5353,4,13,1,-3.0,1
111,5353,4,14,1,0.0,1
112,8188,7,1,1,3.0,1
113,8188,7,2,1,-2.0,1
114,8188,7,3,1,-3.0,1
115,8188,7,4,1,-3.0,1
116,8188,7,5,1,-3.0,1
117,8188,7,6,1,-5.0,1
118,8188,7,7,1,-2.0,1
119,8188,7,8,1,-3.0,1
120,8188,7,9,1,-2.0,1
121,8188,7,10,1,-3.0,1
122,8188,7,11,1,-3.0,1
123,8188,7,12,1,-2.0,1
124,8188,7,13,1,-3.0,1
125,8188,7,14,1,0.0,1
126,9670,3,1,5,-3.0,1
127,9670,3,2,5,-2.0,1
128,9670,3,3,5,-3.0,1
129,9670,3,4,5,-3.0,1
130,9670,3,5,5,5.0,1
131,9670,3,6,5,-3.0,1
132,9670,3,7,5,-3.0,1
133,9670,3,8,5,-3.0,1
134,9670,3,9,5,-3.0,1
135,9670,3,10,5,-2.0,1
136,9670,3,11,5,-3.0,1
137,9670,3,12,5,-3.0,1
138,9670,3,13,5,-2.0,1
139,9670,3,14,5,-3.0,1
140,9670,5,1,1,4.0,2
141,9670,5,2,1,-2.0,2
142,9670,5,3,1,-3.0,2
143,9670,5,4,1,-3.0,2
144,9670,5,5,1,-3.0,2
145,9670,5,6,1,-5.0,2
146,9670,5,7,1,-2.0,2
147,9670,5,8,1,-3.0,2
148,9670,5,9,1,-2.0,2
149,9670,5,10,1,-3.0,2
150,9670,5,11,1,-3.0,2
151,9670,5,12,1,-2.0,2
152,9670,5,13,1,-3.0,2
153,9670,5,14,1,0.0,2
154,10234,1,1,2,-2.0,1
155,10234,1,2,2,3.0,1
156,10234,1,3,2,0.0,1
157,10234,1,4,2,-3.0,1
158,10234,1,5,2,-2.0,1
159,10234,1,6,2,-5.0,1
160,10234,1,7,2,-3.0,1
161,10234,1,8,2,-3.0,1
162,10234,1,9,2,-5.0,1
163,10234,1,10,2,-1.0,1
164,10234,1,11,2,-2.0,1
165,10234,1,12,2,-1.0,1
166,10234,1,13,2,-1.0,1
167,10234,1,14,2,-3.0,1
168,10924,3,1,5,-3.0,1
169,10924,3,2,5,-2.0,1
170,10924,3,3,5,-3.0,1
171,10924,3,4,5,-3.0,1
172,10924,3,5,5,5.0,1
173,10924,3,6,5,-3.0,1
174,10924,3,7,5,-3.0,1
175,10924,3,8,5,-3.0,1
176,10924,3,9,5,-3.0,1
177,10924,3,10,5,-2.0,1
178,10924,3,11,5,-3.0,1
179,10924,3,12,5,-3.0,1
180,10924,3,13,5,-2.0,1
181,10924,3,14,5,-3.0,1
182,10924,5,1,1,2.0,2
183,10924,5,2,1,-2.0,2
184,10924,5,3,1,-3.0,2
185,10924,5,4,1,-3.0,2
186,10924,5,5,1,-3.0,2
187,10924,5,6,1,-5.0,2
188,10924,5,7,1,-2.0,2
189,10924,5,8,1,-3.0,2
190,10924,5,9,1,-2.0,2
191,10924,5,10,1,-3.0,2
192,10924,5,11,1,-3.0,2
193,10924,5,12,1,-2.0,2
194,10924,5,13,1,-3.0,2
195,10924,5,14,1,0.0,2
196,10924,1,1,7,-2.0,3
197,10924,1,2,7,-3.0,3
198,10924,1,3,7,-3.0,3
199,10924,1,4,7,-3.0,3
200,10924,1,5,7,-3.0,3
201,10924,1,6,7,-5.0,3
202,10924,1,7,7,5.0,3
203,10924,1,8,7,-3.0,3
204,10924,1,9,7,-2.0,3
205,10924,1,10,7,-3.0,3
206,10924,1,11,7,-2.0,3
207,10924,1,12,7,-3.0,3
208,10924,1,13,7,-3.0,3
209,10924,1,14,7,-2.0,3
210,11326,7,1,5,-3.0,1
211,11326,7,2,5,-2.0,1
212,11326,7,3,5,-3.0,1
213,11326,7,4,5,-3.0,1
214,11326,7,5,5,5.0,1
215,11326,7,6,5,-3.0,1
216,11326,7,7,5,-3.0,1
217,11326,7,8,5,-3.0,1
218,11326,7,9,5,-3.0,1
219,11326,7,10,5,-2.0,1
220,11326,7,11,5,-3.0,1
221,11326,7,12,5,-3.0,1
222,11326,7,13,5,-2.0,1
223,11326,7,14,5,-3.0,1
224,11603,13,1,8,-3.0,1
225,11603,13,2,8,-3.0,1
226,11603,13,3,8,-3.0,1
227,11603,13,4,8,-3.0,1
228,11603,13,5,8,-3.0,1
229,11603,13,6,8,-3.0,1
230,11603,13,7,8,-3.0,1
231,11603,13,8,8,3.0,1
232,11603,13,9,8,-3.0,1
233,11603,13,10,8,-3.0,1
234,11603,13,11,8,-3.0,1
235,11603,13,12,8,-3.0,1
236,11603,13,13,8,-3.0,1
237,11603,13,14,8,-3.0,1
238,11603,8,1,2,-2.0,2
239,11603,8,2,2,4.0,2
240,11603,8,3,2,0.0,2
241,11603,8,4,2,-3.0,2
242,11603,8,5,2,-2.0,2
243,11603,8,6,2,-5.0,2
244,11603,8,7,2,-3.0,2
245,11603,8,8,2,-3.0,2
246,11603,8,9,2,-5.0,2
247,11603,8,10,2,-1.0,2
248,11603,8,11,2,-2.0,2
249,11603,8,12,2,-1.0,2
250,11603,8,13,2,-1.0,2
251,11603,8,14,2,-3.0,2
252,11603,2,1,9,-2.0,3
253,11603,2,2,9,-5.0,3
254,11603,2,3,9,-5.0,3
255,11603,2,4,9,-5.0,3
256,11603,2,5,9,-3.0,3
257,11603,2,6,9,-5.0,3
258,11603,2,7,9,-2.0,3
259,11603,2,8,9,-3.0,3
260,11603,2,9,9,4.0,3
261,11603,2,10,9,-5.0,3
262,11603,2,11,9,-5.0,3
263,11603,2,12,9,-3.0,3
264,11603,2,13,9,-3.0,3
265,11603,2,14,9,-1.0,3
266,11603,9,1,13,-3.0,4
267,11603,9,2,13,-1.0,4
268,11603,9,3,13,-3.0,4
269,11603,9,4,13,-2.0,4
270,11603,9,5,13,-2.0,4
271,11603,9,6,13,-3.0,4
272,11603,9,7,13,-3.0,4
273,11603,9,8,13,-3.0,4
274,11603,9,9,13,-3.0,4
275,11603,9,10,13,-3.0,4
276,11603,9,11,13,-3.0,4
277,11603,9,12,13,-3.0,4
